citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_40,dot_part40,title49.driver.drug_alcohol_program,1,Procedures for Transportation Workplace Drug and Alcohol Testing Programs,49 CFR Part 40,Mapping level candidate for 49 CFR Part 40. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40. Source: https://www.ecfr.gov/current/title-49/part-40,true,
t49_subpart_40_a,dot_part40,title49.driver.drug_alcohol_program,1,Administrative Provisions,49 CFR Part 40 Subpart A,Mapping level candidate for 49 CFR Part 40 Subpart A. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-40/subpart-A,true,
t49_sec_40_1,dot_part40,title49.driver.drug_alcohol_program,1,Who does this regulation cover?,49 CFR 40.1,Mapping level candidate for 49 CFR 40.1. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart A > 49 CFR 40.1. Source: https://www.ecfr.gov/current/title-49/section-40.1,true,
t49_sec_40_3,dot_part40,title49.driver.drug_alcohol_program,1,What do the terms used in this part mean?,49 CFR 40.3,Mapping level candidate for 49 CFR 40.3. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart A > 49 CFR 40.3. Source: https://www.ecfr.gov/current/title-49/section-40.3,true,
t49_sec_40_5,dot_part40,title49.driver.drug_alcohol_program,1,Who issues authoritative interpretations of this regulation?,49 CFR 40.5,Mapping level candidate for 49 CFR 40.5. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart A > 49 CFR 40.5. Source: https://www.ecfr.gov/current/title-49/section-40.5,true,
t49_sec_40_7,dot_part40,title49.driver.drug_alcohol_program,1,How can you get an exemption from a requirement in this regulation?,49 CFR 40.7,Mapping level candidate for 49 CFR 40.7. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart A > 49 CFR 40.7. Source: https://www.ecfr.gov/current/title-49/section-40.7,true,
t49_subpart_40_b,dot_part40,title49.driver.drug_alcohol_program,1,Employer Responsibilities,49 CFR Part 40 Subpart B,Mapping level candidate for 49 CFR Part 40 Subpart B. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-40/subpart-B,true,
t49_sec_40_11,dot_part40,title49.driver.drug_alcohol_program,1,What are the general responsibilities of employers under this regulation?,49 CFR 40.11,Mapping level candidate for 49 CFR 40.11. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.11. Source: https://www.ecfr.gov/current/title-49/section-40.11,true,
t49_sec_40_13,dot_part40,title49.driver.drug_alcohol_program,1,How do DOT drug and alcohol tests relate to non-DOT tests?,49 CFR 40.13,Mapping level candidate for 49 CFR 40.13. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.13. Source: https://www.ecfr.gov/current/title-49/section-40.13,true,
t49_sec_40_14,dot_part40,title49.driver.drug_alcohol_program,1,What collection information must employers provide to collectors?,49 CFR 40.14,Mapping level candidate for 49 CFR 40.14. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.14. Source: https://www.ecfr.gov/current/title-49/section-40.14,true,
t49_sec_40_15,dot_part40,title49.driver.drug_alcohol_program,1,May an employer use a service agent to meet DOT drug and alcohol testing requirements?,49 CFR 40.15,Mapping level candidate for 49 CFR 40.15. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.15. Source: https://www.ecfr.gov/current/title-49/section-40.15,true,
t49_sec_40_17,dot_part40,title49.driver.drug_alcohol_program,1,Is an employer responsible for obtaining information from its service agents?,49 CFR 40.17,Mapping level candidate for 49 CFR 40.17. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.17. Source: https://www.ecfr.gov/current/title-49/section-40.17,true,
t49_sec_40_19,dot_part40,title49.driver.drug_alcohol_program,1,Sec. 40.19 [Reserved],49 CFR 40.19,Mapping level candidate for 49 CFR 40.19. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.19. Source: https://www.ecfr.gov/current/title-49/section-40.19,false,
t49_sec_40_21,dot_part40,title49.driver.drug_alcohol_program,1,May an employer stand down an employee before the MRO has completed the verification process?,49 CFR 40.21,Mapping level candidate for 49 CFR 40.21. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.21. Source: https://www.ecfr.gov/current/title-49/section-40.21,true,
t49_sec_40_23,dot_part40,title49.driver.drug_alcohol_program,1,What actions do employers take after receiving verified test results?,49 CFR 40.23,Mapping level candidate for 49 CFR 40.23. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.23. Source: https://www.ecfr.gov/current/title-49/section-40.23,true,
t49_sec_40_25,dot_part40,title49.driver.drug_alcohol_program,1,Must an employer check on the drug and alcohol testing record of employees it is intending to use to perform safety-sensitive...,49 CFR 40.25,Mapping level candidate for 49 CFR 40.25. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.25. Source: https://www.ecfr.gov/current/title-49/section-40.25,true,
t49_sec_40_26,dot_part40,title49.driver.drug_alcohol_program,1,What form must an employer use to report Management Information System (MIS) data to a DOT agency?,49 CFR 40.26,Mapping level candidate for 49 CFR 40.26. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.26. Source: https://www.ecfr.gov/current/title-49/section-40.26,true,
t49_sec_40_27,dot_part40,title49.driver.drug_alcohol_program,1,May an employer require an employee to sign a consent or release in connection with the DOT drug and alcohol testing program?,49 CFR 40.27,Mapping level candidate for 49 CFR 40.27. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart B > 49 CFR 40.27. Source: https://www.ecfr.gov/current/title-49/section-40.27,true,
t49_subpart_40_c,dot_part40,title49.driver.drug_alcohol_program,1,Specimen Collection Personnel,49 CFR Part 40 Subpart C,Mapping level candidate for 49 CFR Part 40 Subpart C. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart C. Source: https://www.ecfr.gov/current/title-49/part-40/subpart-C,true,
t49_sec_40_31,dot_part40,title49.driver.drug_alcohol_program,1,Who may collect specimens for DOT drug testing?,49 CFR 40.31,Mapping level candidate for 49 CFR 40.31. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart C > 49 CFR 40.31. Source: https://www.ecfr.gov/current/title-49/section-40.31,true,
t49_sec_40_33,dot_part40,title49.driver.drug_alcohol_program,1,What training requirements must a collector meet for urine collection?,49 CFR 40.33,Mapping level candidate for 49 CFR 40.33. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart C > 49 CFR 40.33. Source: https://www.ecfr.gov/current/title-49/section-40.33,true,
t49_sec_40_35,dot_part40,title49.driver.drug_alcohol_program,1,What training requirements must a collector meet for oral fluid collection?,49 CFR 40.35,Mapping level candidate for 49 CFR 40.35. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 40 > 49 CFR Part 40 Subpart C > 49 CFR 40.35. Source: https://www.ecfr.gov/current/title-49/section-40.35,true,
