dataset_key,entity_type,canonical_key,display_name,source_system,source_key,confidence,external_id,external_name,notes
assurarr-audit-type,audit_type,internal_process_audit,Internal Process Audit,stl_seed_catalog,assurarr-audit-type:internal_process_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,supplier_audit,Supplier Audit,stl_seed_catalog,assurarr-audit-type:supplier_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,customer_audit,Customer Audit,stl_seed_catalog,assurarr-audit-type:customer_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,regulatory_audit,Regulatory Audit,stl_seed_catalog,assurarr-audit-type:regulatory_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,safety_audit,Safety Audit,stl_seed_catalog,assurarr-audit-type:safety_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,product_quality_audit,Product Quality Audit,stl_seed_catalog,assurarr-audit-type:product_quality_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,dock_receiving_audit,Dock/Receiving Audit,stl_seed_catalog,assurarr-audit-type:dock_receiving_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,documentation_audit,Documentation Audit,stl_seed_catalog,assurarr-audit-type:documentation_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,follow_up_audit,Follow-up Audit,stl_seed_catalog,assurarr-audit-type:follow_up_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,layered_process_audit,Layered Process Audit,stl_seed_catalog,assurarr-audit-type:layered_process_audit,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-audit-type,audit_type,other,Other,stl_seed_catalog,assurarr-audit-type:other,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Audit Type."
assurarr-capa-type,capa_type,corrective_action,Corrective Action,stl_seed_catalog,assurarr-capa-type:corrective_action,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,preventive_action,Preventive Action,stl_seed_catalog,assurarr-capa-type:preventive_action,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,containment_action,Containment Action,stl_seed_catalog,assurarr-capa-type:containment_action,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,systemic_action,Systemic Action,stl_seed_catalog,assurarr-capa-type:systemic_action,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,supplier_capa,Supplier CAPA,stl_seed_catalog,assurarr-capa-type:supplier_capa,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,customer_requested_capa,Customer Requested CAPA,stl_seed_catalog,assurarr-capa-type:customer_requested_capa,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,regulatory_capa,Regulatory CAPA,stl_seed_catalog,assurarr-capa-type:regulatory_capa,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,effectiveness_check,Effectiveness Check,stl_seed_catalog,assurarr-capa-type:effectiveness_check,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-capa-type,capa_type,other,Other,stl_seed_catalog,assurarr-capa-type:other,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=CAPA Type."
assurarr-complaint-type,complaint_type,customer_complaint,Customer Complaint,stl_seed_catalog,assurarr-complaint-type:customer_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,supplier_complaint,Supplier Complaint,stl_seed_catalog,assurarr-complaint-type:supplier_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,internal_complaint,Internal Complaint,stl_seed_catalog,assurarr-complaint-type:internal_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,product_quality_complaint,Product Quality Complaint,stl_seed_catalog,assurarr-complaint-type:product_quality_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,service_quality_complaint,Service Quality Complaint,stl_seed_catalog,assurarr-complaint-type:service_quality_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,delivery_complaint,Delivery Complaint,stl_seed_catalog,assurarr-complaint-type:delivery_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,documentation_complaint,Documentation Complaint,stl_seed_catalog,assurarr-complaint-type:documentation_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,safety_complaint,Safety Complaint,stl_seed_catalog,assurarr-complaint-type:safety_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,regulatory_complaint,Regulatory Complaint,stl_seed_catalog,assurarr-complaint-type:regulatory_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,billing_complaint,Billing Complaint,stl_seed_catalog,assurarr-complaint-type:billing_complaint,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-complaint-type,complaint_type,other,Other,stl_seed_catalog,assurarr-complaint-type:other,0.88,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Complaint Type."
assurarr-containment-type,containment_type,inventory_hold,Inventory Hold,stl_seed_catalog,assurarr-containment-type:inventory_hold,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Containment Type."
assurarr-containment-type,containment_type,shipment_stop,Shipment Stop,stl_seed_catalog,assurarr-containment-type:shipment_stop,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Containment Type."
assurarr-containment-type,containment_type,product_quarantine,Product Quarantine,stl_seed_catalog,assurarr-containment-type:product_quarantine,0.90,,,"Staged platform/system acceptable value seed only; excludes tenant-owned, tenant-configured, and tenant-derived values; review/approve row by row. Product=AssurArr; Dataset=Containment Type."
