product_key,product,feature_id,capability,class,state,required_behavior_or_evidence,rollout_stage,rollout_stage_title,rollout_lane,release_note,source_file,source_line
assurarr,AssurArr,AS-CUR-001,Nonconformance management,CURRENT,Durable,"Durable nonconformance records with affected context, status, severity, and timeline.",R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,113
assurarr,AssurArr,AS-CUR-002,Quality hold and release,CURRENT,Durable,"Hold scope, lifecycle, release decision, and downstream blocking model are persistent.",R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,114
assurarr,AssurArr,AS-CUR-003,Containment and disposition,CURRENT,Durable,Immediate containment and final disposition records are represented.,R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,115
assurarr,AssurArr,AS-CUR-004,Root cause analysis,CURRENT,Durable,Structured root-cause records support investigation and CAPA context.,R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,116
assurarr,AssurArr,AS-CUR-005,CAPA and action tracking,CURRENT,Durable,"CAPA, actions, blockers, owners, due dates, status, and closure are durable.",R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,117
assurarr,AssurArr,AS-CUR-006,Verification plans and effectiveness checks,CURRENT,Durable,Verification and effectiveness records allow evidence-based closure/reopen.,R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,118
assurarr,AssurArr,AS-CUR-007,Quality audits and checklists,CURRENT,Durable,"Audits, checklists/items, findings, and related workflows are persistent.",R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,119
assurarr,AssurArr,AS-CUR-008,Quality findings and review,CURRENT,Durable,"Findings, reviews, release decisions, and quality status changes are represented.",R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,120
assurarr,AssurArr,AS-CUR-009,Supplier quality and SCAR,CURRENT,Durable,Supplier issue and corrective-action request models support external quality collaboration.,R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,121
assurarr,AssurArr,AS-CUR-010,Customer complaint quality case,CURRENT,Durable,Quality-side complaint cases can link to CustomArr customer communication.,R6,"Quality hold, release, and corrective action",Harden represented capability in product entry release,Verify with release gate tests and UX polish,products/assurarr/FEATURESET.md,122
