product_key,product,workflow_id,workflow,class,state,trigger,rollout_stage,rollout_stage_title,rollout_lane,release_note,source_file,source_line
assurarr,AssurArr,AS-WF-001,"Report, triage, and classify nonconformance",CURRENT · COMMON,Durable,"Worker, customer, supplier, audit, inspection, system rule, or product event identifies a quality issue.",R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,23
assurarr,AssurArr,AS-WF-002,"Quality hold creation, propagation, and release",CURRENT · UNDERSERVED,Durable,"A nonconformance, complaint, audit, supplier issue, failed inspection, or authorized reviewer requires a hold.",R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,24
assurarr,AssurArr,AS-WF-003,Containment and disposition,CURRENT · COMMON,Durable,Nonconformance triage requires immediate containment or investigation reaches disposition.,R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,25
assurarr,AssurArr,AS-WF-004,Root cause analysis and CAPA initiation,CURRENT · COMMON,Durable,A nonconformance/finding/complaint/recurrence meets CAPA criteria.,R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,26
assurarr,AssurArr,AS-WF-005,"CAPA action execution, verification, effectiveness, and closure",CURRENT · COMMON,Durable,CAPA is approved.,R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,27
assurarr,AssurArr,AS-WF-006,"Quality audit plan, execute, finding, and close",CURRENT · COMMON,Durable,Audit program/schedule or ad hoc risk event creates an audit.,R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,28
assurarr,AssurArr,AS-WF-007,Supplier quality issue and SCAR,CURRENT · COMMON,Durable,"Incoming quality, field failure, audit, complaint, or trend triggers supplier action.",R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,29
assurarr,AssurArr,AS-WF-008,Customer complaint quality investigation,CURRENT · COMMON,Durable,CustomArr forwards a complaint classified as potential quality issue.,R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,30
assurarr,AssurArr,AS-WF-009,Quality review and release,CURRENT · COMMON,Durable,Operational workflow requests quality review or configured criteria are met.,R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/assurarr/WORKFLOWS.md,31
assurarr,AssurArr,AS-WF-010,Quality change control,COMMON · DEMOCRATIZE,Target,"A process, specification, supplier, material, equipment, software, document, method, location, or requirement change is proposed.",R6,"Quality hold, release, and corrective action",Complete expected category workflow after MVP proof,Implement behind owner APIs/events before release,products/assurarr/WORKFLOWS.md,32
assurarr,AssurArr,AS-WF-011,Deviation and temporary concession,COMMON · UNDERSERVED,Target,Operations requests deviation before work or identifies an unavoidable departure during execution.,R6,"Quality hold, release, and corrective action",Complete expected category workflow after MVP proof,Implement behind owner APIs/events before release,products/assurarr/WORKFLOWS.md,33
assurarr,AssurArr,AS-WF-012,Risk/FMEA review and control action,COMMON · DEMOCRATIZE,Target,New/changed process/product/supplier/equipment or scheduled review requires risk assessment.,R6,"Quality hold, release, and corrective action",Complete expected category workflow after MVP proof,Implement behind owner APIs/events before release,products/assurarr/WORKFLOWS.md,34
assurarr,AssurArr,AS-WF-013,Management quality review,CURRENT · COMMON,Partial,Scheduled management review period opens.,R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,Requires R0 truth hardening before production reliance,products/assurarr/WORKFLOWS.md,35
assurarr,AssurArr,AS-WF-014,Quality audit/evidence package,CURRENT · COMMON,Partial,"Customer, regulator, auditor, supplier, or internal reviewer requests quality evidence.",R6,"Quality hold, release, and corrective action",Harden represented workflow in product entry release,Requires R0 truth hardening before production reliance,products/assurarr/WORKFLOWS.md,36
compliancecore,Compliance Core,CC-WF-001,Ingest and govern a regulatory source,CURRENT · COMMON,Durable,"An authorized administrator imports or registers a regulation, standard, guidance document, customer requirement, or policy source.",R2,Compliance Core runtime baseline,Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/compliancecore/WORKFLOWS.md,23
compliancecore,Compliance Core,CC-WF-002,"Author, test, publish, and roll back a rulepack",CURRENT · FOUNDATION,Durable,"A new obligation, mapping change, defect, or planned content release requires a rulepack revision.",R2,Compliance Core runtime baseline,Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/compliancecore/WORKFLOWS.md,24
compliancecore,Compliance Core,CC-WF-003,Onboard a tenant compliance profile,CURRENT · UNDERSERVED,Durable,"A tenant activates the suite, adds a legal entity/site/operation, or requests profile reassessment.",R2,Compliance Core runtime baseline,Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/compliancecore/WORKFLOWS.md,25
compliancecore,Compliance Core,CC-WF-004,Synchronize a product fact with provenance,CURRENT · FOUNDATION,Durable,An owning product emits a create/update/delete/status event or Compliance Core requests a permitted fact refresh.,R2,Compliance Core runtime baseline,Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/compliancecore/WORKFLOWS.md,26
compliancecore,Compliance Core,CC-WF-005,Map and reuse evidence across requirements,CURRENT · UNDERSERVED,Durable,"A rule, audit, assessment, or product workflow identifies an evidence requirement.",R2,Compliance Core runtime baseline,Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/compliancecore/WORKFLOWS.md,27
compliancecore,Compliance Core,CC-WF-006,Evaluate compliance and explain the result,CURRENT · FOUNDATION,Durable,"A product requests a decision, a fact/evidence/rule changes, a schedule runs, or an authorized user performs an evaluation.",R2,Compliance Core runtime baseline,Harden represented workflow in product entry release,"Verify state path, tests, evidence, and UI failure states",products/compliancecore/WORKFLOWS.md,28
