citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_375,fmcsa_household_goods,title49.household_goods.consumer_protection,1,Transportation of Household Goods in Interstate Commerce; Consumer Protection Regulations,49 CFR Part 375,Mapping level candidate for 49 CFR Part 375. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375. Source: https://www.ecfr.gov/current/title-49/part-375,true,
t49_subpart_375_a,fmcsa_household_goods,title49.household_goods.consumer_protection,1,General Requirements,49 CFR Part 375 Subpart A,Mapping level candidate for 49 CFR Part 375 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-375/subpart-A,true,
t49_sec_375_101,fmcsa_household_goods,title49.household_goods.consumer_protection,1,Who must follow the regulations in this part?,49 CFR 375.101,Mapping level candidate for 49 CFR 375.101. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart A > 49 CFR 375.101. Source: https://www.ecfr.gov/current/title-49/section-375.101,true,
t49_sec_375_103,fmcsa_household_goods,title49.household_goods.consumer_protection,1,What are the definitions of terms used in this part?,49 CFR 375.103,Mapping level candidate for 49 CFR 375.103. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart A > 49 CFR 375.103. Source: https://www.ecfr.gov/current/title-49/section-375.103,true,
t49_sec_375_105,fmcsa_household_goods,title49.household_goods.consumer_protection,1,What are the information collection requirements of this part?,49 CFR 375.105,Mapping level candidate for 49 CFR 375.105. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart A > 49 CFR 375.105. Source: https://www.ecfr.gov/current/title-49/section-375.105,true,
t49_subpart_375_b,fmcsa_household_goods,title49.household_goods.consumer_protection,1,Before Offering Services to My Customers,49 CFR Part 375 Subpart B,Mapping level candidate for 49 CFR Part 375 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-375/subpart-B,true,
t49_sec_375_201,fmcsa_household_goods,title49.household_goods.consumer_protection,1,What is my normal liability for loss and damage when I accept goods from an individual shipper?,49 CFR 375.201,Mapping level candidate for 49 CFR 375.201. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart B > 49 CFR 375.201. Source: https://www.ecfr.gov/current/title-49/section-375.201,true,
t49_sec_375_203,fmcsa_household_goods,title49.household_goods.consumer_protection,1,What actions of an individual shipper may limit or reduce my normal liability?,49 CFR 375.203,Mapping level candidate for 49 CFR 375.203. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart B > 49 CFR 375.203. Source: https://www.ecfr.gov/current/title-49/section-375.203,true,
t49_sec_375_205,fmcsa_household_goods,title49.household_goods.consumer_protection,1,May I have agents?,49 CFR 375.205,Mapping level candidate for 49 CFR 375.205. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart B > 49 CFR 375.205. Source: https://www.ecfr.gov/current/title-49/section-375.205,true,
t49_sec_375_207,fmcsa_household_goods,title49.household_goods.consumer_protection,1,What items must be in my advertisements?,49 CFR 375.207,Mapping level candidate for 49 CFR 375.207. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 375 > 49 CFR Part 375 Subpart B > 49 CFR 375.207. Source: https://www.ecfr.gov/current/title-49/section-375.207,true,
